Warehouse_ID,Warehouse_Address,Part_ID,On_Hand,Reserved,Damaged,Available,Reorder_Level
WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",HYD-1001,46,4,0,42,9
WH-East-NC,"19 Canal South Road, Topsia, Kolkata, West Bengal 700046, India",HYD-1001,56,6,1,49,12
WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",HYD-1001,53,6,1,46,8
WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",HYD-1001,65,9,1,55,12
WH-South-FL,"Guindy Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",HYD-1001,81,6,1,74,18
WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",HYD-1001,49,5,0,44,10
WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",HYD-1001,59,7,1,51,13
WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",HYD-1001,62,9,1,52,12
WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",HYD-1001,63,5,1,57,10
WH-Southeast-GA,"Mancheswar Industrial Estate, Bhubaneswar, Odisha 751010, India",HYD-1001,58,6,1,51,12
WH-Northeast-NY,"Beltola Industrial Area, Guwahati, Assam 781028, India",HYD-1001,60,7,1,52,15
WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",HYD-1001,62,9,1,52,14
WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",HYD-1001,63,5,1,57,12
WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",HYD-1001,72,7,1,64,14
WH-Rockies-UT,"Chakan MIDC, Pune, Maharashtra 410501, India",HYD-1001,60,7,1,52,12
WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",HYD-1002,36,4,0,32,6
WH-East-NC,"19 Canal South Road, Topsia, Kolkata, West Bengal 700046, India",HYD-1002,45,5,0,40,9
WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",HYD-1002,41,6,0,35,5
WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",HYD-1002,50,4,0,46,8
WH-South-FL,"Guindy Industrial Estate, Guindy, Chennai, Tamil Nadu 600032, India",HYD-1002,39,4,0,35,9
WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",HYD-1002,39,5,0,34,7
WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",HYD-1002,46,6,0,40,9
WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",HYD-1002,48,4,0,44,8
WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",HYD-1002,51,5,1,45,8
