Candidate_ID,Order_ID,Warehouse_ID,Warehouse_Address,Base_Unit_Cost_USD,Items_Sold_To_Date
OPT-001,ORD-8821,WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",486.0,1075
OPT-002,ORD-8821,WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",450.0,1075
OPT-003,ORD-8821,WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",459.0,1075
OPT-004,ORD-8821,WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",432.0,1075
OPT-005,ORD-8821,WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",454.5,1075
OPT-006,ORD-8821,WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",427.5,1075
OPT-007,ORD-8821,WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",463.5,1075
OPT-008,ORD-8821,WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",450.0,1075
OPT-009,ORD-8821,WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",477.0,1075
OPT-010,ORD-8821,WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",454.5,1075
OPT-011,ORD-8822,WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",734.4,728
OPT-012,ORD-8822,WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",693.6,728
OPT-013,ORD-8822,WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",680.0,728
OPT-014,ORD-8822,WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",652.8,728
OPT-015,ORD-8822,WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",686.8,728
OPT-016,ORD-8822,WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",680.0,728
OPT-017,ORD-8822,WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",700.4,728
OPT-018,ORD-8822,WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",646.0,728
OPT-019,ORD-8822,WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",720.8,728
OPT-020,ORD-8822,WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",686.8,728
OPT-021,ORD-8823,WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",59.4,1890
OPT-022,ORD-8823,WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",56.1,1890
OPT-023,ORD-8823,WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",55.0,1890
OPT-024,ORD-8823,WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",52.8,1890
OPT-025,ORD-8823,WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",55.0,1890
OPT-026,ORD-8823,WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",55.55,1890
OPT-027,ORD-8823,WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",52.25,1890
OPT-028,ORD-8823,WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",56.65,1890
OPT-029,ORD-8823,WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",58.3,1890
OPT-030,ORD-8823,WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",55.55,1890
OPT-031,ORD-8824,WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",27.0,2654
OPT-032,ORD-8824,WH-Central-TX,"Plot 12, HITEC City Road, Madhapur, Hyderabad, Telangana 500081, India",25.5,2654
OPT-033,ORD-8824,WH-Southwest-AZ,"Sitapura Industrial Area, Jaipur, Rajasthan 302022, India",25.0,2654
OPT-034,ORD-8824,WH-GreatLakes-MI,"Hingna Industrial Area, Nagpur, Maharashtra 440016, India",24.0,2654
OPT-035,ORD-8824,WH-North-IL,"Sector 18, Rohini Industrial Area, New Delhi, Delhi 110085, India",25.25,2654
OPT-036,ORD-8824,WH-SouthCentral-OK,"Pithampur Industrial Area, Indore, Madhya Pradesh 453331, India",23.75,2654
OPT-037,ORD-8824,WH-Mountain-CO,"Sanand Industrial Area, Sanand, Ahmedabad, Gujarat 382110, India",25.75,2654
OPT-038,ORD-8824,WH-Midwest-OH,"Peenya Industrial Area, Bengaluru, Karnataka 560058, India",25.0,2654
OPT-039,ORD-8824,WH-Pacific-WA,"Avinashi Road Industrial Estate, Coimbatore, Tamil Nadu 641018, India",26.5,2654
OPT-040,ORD-8824,WH-MidAtlantic-VA,"Transport Nagar, Lucknow, Uttar Pradesh 226012, India",25.25,2654
OPT-041,ORD-8825,WH-West-CA,"MIDC Andheri East, Andheri East, Mumbai, Maharashtra 400093, India",91.8,1084
